iter	Passed	Remaining
584	6712	4761
585	6720	4747
586	6728	4733
587	6764	4739
588	6772	4725
589	6780	4712
590	6789	4698
591	6800	4687
592	6809	4673
593	6816	4659
594	6857	4667
595	6865	4653
596	6873	4639
597	6880	4625
598	6888	4611
599	6897	4598
600	6905	4584
601	6940	4588
602	6948	4574
603	6955	4559
604	6961	4545
605	6968	4530
606	6975	4516
607	6982	4501
608	6988	4487
609	7024	4490
610	7033	4478
611	7041	4464
612	7049	4450
613	7056	4436
614	7064	4422
615	7073	4409
616	7112	4415
617	7121	4402
618	7128	4387
619	7135	4373
620	7142	4359
621	7149	4344
622	7155	4330
623	7162	4315
624	7177	4306
625	7204	4304
626	7212	4290
627	7219	4276
628	7229	4263
629	7236	4250
630	7244	4236
631	7252	4223
632	7288	4225
633	7296	4211
634	7302	4197
635	7309	4183
636	7315	4168
637	7321	4154
638	7328	4139
639	7335	4125
640	7341	4111
641	7380	4115
642	7389	4102
643	7398	4089
644	7406	4076
645	7414	4063
646	7423	4050
647	7431	4036
648	7468	4039
649	7479	4027
650	7486	4013
651	7495	4000
652	7502	3987
653	7511	3974
654	7543	3973
655	7555	3962
656	7562	3948
657	7569	3934
658	7576	3920
659	7583	3906
660	7592	3893
661	7600	3880
662	7606	3866
663	7642	3867
664	7650	3853
665	7656	3839
666	7664	3826
667	7671	3812
668	7678	3798
669	7684	3784
670	7690	3770
671	7727	3771
672	7735	3758
673	7741	3744
674	7749	3731
675	7757	3718
676	7763	3704
677	7770	3690
678	7777	3676
679	7812	3676
680	7819	3662
681	7826	3649
682	7832	3635
683	7840	3622
684	7847	3608
685	7853	3594
686	7860	3581
687	7898	3581
688	7905	3568
689	7912	3554
690	7923	3543
691	7930	3529
692	7937	3516
693	7945	3503
694	7979	3501
695	7988	3489
696	7996	3476
697	8004	3463
698	8012	3450
699	8022	3438
700	8030	3425
701	8038	3412
702	8074	3411
703	8082	3398
704	8090	3385
705	8099	3373
706	8108	3360
707	8117	3348
708	8125	3335
709	8162	3333
710	8169	3320
711	8176	3307
712	8184	3294
713	8191	3281
714	8198	3267
715	8205	3254
716	8233	3249
717	8248	3239
718	8256	3226
719	8263	3213
720	8271	3200
721	8279	3187
722	8287	3175
723	8294	3162
724	8333	3160
725	8341	3148
726	8363	3140
727	8390	3134
728	8446	3139
729	8456	3127
730	8464	3114
731	8473	3102
